Algorithm,Array Type,Array Size,Time (seconds)
Shell_sort,constant,1024,0.00184440612792969
Shell_sort,a_shaped,1024,0.00352835655212402
Shell_sort,random,2048,0.0141141414642334
Shell_sort,increasing,2048,0.00348973274230957
Shell_sort,decreasing,2048,0.00657391548156738
Shell_sort,constant,2048,0.00311613082885742
Shell_sort,a_shaped,2048,0.0057978630065918
Shell_sort,random,4096,0.0251846313476563
Shell_sort,increasing,4096,0.00635385513305664
Shell_sort,decreasing,4096,0.0143778324127197
Shell_sort,constant,4096,0.00650525093078613
Shell_sort,a_shaped,4096,0.0126309394836426
Shell_sort,random,8192,0.05277419090271
Shell_sort,increasing,8192,0.0142202377319336
Shell_sort,decreasing,8192,0.0299551486968994
Shell_sort,constant,8192,0.0141420364379883
Shell_sort,a_shaped,8192,0.0258150100708008
Shell_sort,random,16384,0.119295597076416
Shell_sort,increasing,16384,0.0306520462036133
Shell_sort,decreasing,16384,0.0630276203155518
Shell_sort,constant,16384,0.0297677516937256
Shell_sort,a_shaped,16384,0.0576746463775635
Shell_sort,random,32768,0.25897741317749
Shell_sort,increasing,32768,0.0658583641052246
Shell_sort,decreasing,32768,0.139067888259888
Shell_sort,constant,32768,0.0773947238922119
Shell_sort,a_shaped,32768,0.120488405227661
Shell_sort,random,65536,0.59976077079773
Shell_sort,increasing,65536,0.147543668746948
Shell_sort,decreasing,65536,0.340159893035889
Shell_sort,constant,65536,0.139506816864014
Shell_sort,a_shaped,65536,0.263669013977051
Heap_sort,random,4,2.40802764892578E-05
Heap_sort,increasing,4,1.02519989013672E-05
Heap_sort,decreasing,4,6.19888305664063E-06
Heap_sort,constant,4,5.24520874023438E-06
Heap_sort,a_shaped,4,6.19888305664063E-06
Heap_sort,random,8,1.97887420654297E-05
Heap_sort,increasing,8,1.88350677490234E-05
Heap_sort,decreasing,8,0.0000152587890625
Heap_sort,constant,8,9.05990600585938E-06
Heap_sort,a_shaped,8,1.59740447998047E-05
Heap_sort,random,16,4.48226928710938E-05
Heap_sort,increasing,16,4.45842742919922E-05
Heap_sort,decreasing,16,3.4332275390625E-05
Heap_sort,constant,16,1.71661376953125E-05
Heap_sort,a_shaped,16,4.14848327636719E-05
Heap_sort,random,32,0.00010228157043457
Heap_sort,increasing,32,0.000110864639282227
Heap_sort,decreasing,32,8.94069671630859E-05
Heap_sort,constant,32,3.38554382324219E-05
Heap_sort,a_shaped,32,0.000107765197753906
Heap_sort,random,64,0.000259876251220703
Heap_sort,increasing,64,0.000276327133178711
Heap_sort,decreasing,64,0.000228404998779297
Heap_sort,constant,64,6.50882720947266E-05
Heap_sort,a_shaped,64,0.0002593994140625
Heap_sort,random,128,0.000632286071777344
Heap_sort,increasing,128,0.000685930252075195
Heap_sort,decreasing,128,0.000583648681640625
Heap_sort,constant,128,0.000139951705932617
Heap_sort,a_shaped,128,0.000622272491455078
Heap_sort,random,256,0.00148320198059082
Heap_sort,increasing,256,0.00157856941223145
Heap_sort,decreasing,256,0.00144600868225098
Heap_sort,constant,256,0.000293970108032227
Heap_sort,a_shaped,256,0.00171422958374023
Heap_sort,random,512,0.0039665699005127
Heap_sort,increasing,512,0.00445699691772461
Heap_sort,decreasing,512,0.00367474555969238
Heap_sort,constant,512,0.00068354606628418
Heap_sort,a_shaped,512,0.00400900840759277
Heap_sort,random,1024,0.00825667381286621
Heap_sort,increasing,1024,0.00793361663818359
Heap_sort,decreasing,1024,0.00650882720947266
Heap_sort,constant,1024,0.00102734565734863
Heap_sort,a_shaped,1024,0.00714468955993652
Heap_sort,random,2048,0.0165586471557617
