Algorithm,Array Type,Array Size,Time (seconds)
Insertion_sort,random,2²,2.5272369384765625e-05
Insertion_sort,increasing,2²,6.9141387939453125e-06
Insertion_sort,decreasing,2²,1.0013580322265625e-05
Insertion_sort,constant,2²,5.9604644775390625e-06
Insertion_sort,a_shaped,2²,5.0067901611328125e-06
Insertion_sort,random,2³,2.002716064453125e-05
Insertion_sort,increasing,2³,6.4373016357421875e-06
Insertion_sort,decreasing,2³,2.2411346435546875e-05
Insertion_sort,constant,2³,5.7220458984375e-06
Insertion_sort,a_shaped,2³,1.239776611328125e-05
Insertion_sort,random,2⁴,4.6253204345703125e-05
Insertion_sort,increasing,2⁴,1.1920928955078125e-05
Insertion_sort,decreasing,2⁴,8.511543273925781e-05
Insertion_sort,constant,2⁴,1.4066696166992188e-05
Insertion_sort,a_shaped,2⁴,2.7418136596679688e-05
Insertion_sort,random,2⁵,0.00014162063598632812
Insertion_sort,increasing,2⁵,1.3589859008789062e-05
Insertion_sort,decreasing,2⁵,0.0001823902130126953
Insertion_sort,constant,2⁵,1.2874603271484375e-05
Insertion_sort,a_shaped,2⁵,9.131431579589844e-05
Insertion_sort,random,2⁶,0.0004448890686035156
Insertion_sort,increasing,2⁶,2.5987625122070312e-05
Insertion_sort,decreasing,2⁶,0.0007297992706298828
Insertion_sort,constant,2⁶,2.5510787963867188e-05
Insertion_sort,a_shaped,2⁶,0.00036215782165527344
Insertion_sort,random,2⁷,0.0016727447509765625
Insertion_sort,increasing,2⁷,4.792213439941406e-05
Insertion_sort,decreasing,2⁷,0.0032362937927246094
Insertion_sort,constant,2⁷,9.131431579589844e-05
Insertion_sort,a_shaped,2⁷,0.0014929771423339844
Insertion_sort,random,2⁸,0.006043910980224609
Insertion_sort,increasing,2⁸,9.846687316894531e-05
Insertion_sort,decreasing,2⁸,0.012543439865112305
Insertion_sort,constant,2⁸,0.00010967254638671875
Insertion_sort,a_shaped,2⁸,0.006015777587890625
Insertion_sort,random,2⁹,0.026033639907836914
Insertion_sort,increasing,2⁹,0.00020837783813476562
Insertion_sort,decreasing,2⁹,0.04549264907836914
Insertion_sort,constant,2⁹,0.00018835067749023438
Insertion_sort,a_shaped,2⁹,0.02239847183227539
Insertion_sort,random,2¹⁰,0.09774351119995117
Insertion_sort,increasing,2¹⁰,0.00040650367736816406
Insertion_sort,decreasing,2¹⁰,0.18745684623718262
Insertion_sort,constant,2¹⁰,0.0005471706390380859
Insertion_sort,a_shaped,2¹⁰,0.10905933380126953
Insertion_sort,random,2¹¹,0.3732602596282959
Insertion_sort,increasing,2¹¹,0.0006608963012695312
Insertion_sort,decreasing,2¹¹,0.6811954975128174
Insertion_sort,constant,2¹¹,0.0008134841918945312
Insertion_sort,a_shaped,2¹¹,0.3675858974456787
Insertion_sort,random,2¹²,1.1830272674560547
Insertion_sort,increasing,2¹²,0.0012183189392089844
Insertion_sort,decreasing,2¹²,2.4404845237731934
Insertion_sort,constant,2¹²,0.0016548633575439453
Insertion_sort,a_shaped,2¹²,1.2220149040222168
Insertion_sort,random,2¹³,4.817317962646484
Insertion_sort,increasing,2¹³,0.002445220947265625
Insertion_sort,decreasing,2¹³,11.031791925430298
Insertion_sort,constant,2¹³,0.0034575462341308594
Insertion_sort,a_shaped,2¹³,5.654531478881836
Insertion_sort,random,2¹⁴,22.289868354797363
Insertion_sort,increasing,2¹⁴,0.005342245101928711
Insertion_sort,decreasing,2¹⁴,43.51666212081909
Insertion_sort,constant,2¹⁴,0.007888555526733398
Insertion_sort,a_shaped,2¹⁴,22.89483904838562
Insertion_sort,random,2¹⁵,78.54089498519897
Insertion_sort,increasing,2¹⁵,0.009713172912597656
Insertion_sort,decreasing,2¹⁵,151.5928201675415
Insertion_sort,constant,2¹⁵,0.009459495544433594
Insertion_sort,a_shaped,2¹⁵,77.2047324180603
Insertion_sort,random,2¹⁶,297.2102086544037
Insertion_sort,increasing,2¹⁶,0.026924848556518555
Insertion_sort,decreasing,2¹⁶,618.6878497600555
Insertion_sort,constant,2¹⁶,0.029485702514648438
Insertion_sort,a_shaped,2¹⁶,306.1983530521393
Selection_sort,random,2²,2.09808349609375e-05
Selection_sort,increasing,2²,5.245208740234375e-06
Selection_sort,decreasing,2²,3.814697265625e-06
Selection_sort,constant,2²,3.5762786865234375e-06
Selection_sort,a_shaped,2²,3.5762786865234375e-06
Selection_sort,random,2³,8.821487426757812e-06
Selection_sort,increasing,2³,8.106231689453125e-06
Selection_sort,decreasing,2³,8.106231689453125e-06
Selection_sort,constant,2³,8.106231689453125e-06
Selection_sort,a_shaped,2³,1.1682510375976562e-05
Selection_sort,random,2⁴,3.266334533691406e-05
Selection_sort,increasing,2⁴,3.170967102050781e-05
Selection_sort,decreasing,2⁴,3.2901763916015625e-05
Selection_sort,constant,2⁴,3.266334533691406e-05
Selection_sort,a_shaped,2⁴,2.5987625122070312e-05
Selection_sort,random,2⁵,9.131431579589844e-05
Selection_sort,increasing,2⁵,8.916854858398438e-05
Selection_sort,decreasing,2⁵,9.107589721679688e-05
Selection_sort,constant,2⁵,8.869171142578125e-05
